Description,Field Name,Values
"Indicates the likelihood of a consumer owning a home, and is received from tax assessor and deed information.",Homeowner,"U=unknown,Y=yes"
Renter status is derived from consumer response data. Unit numbers are not used to infer rented status because units may be owner condominium/coop.,Renter,"U=unknown,Y=yes"
"Direct Mail Responder information identifies consumers who have purchased by direct mail through multiple companies. Data is carried at both the individual and household level. If one member of a household is a direct mail responder at the individual level, the remaining members of the household will be coded as a direct mail responder at the household level.",Mail Responder,"M=Multi-buyer,U=Unknown,Y=Single buyer"
"Estimated Current Home Value predicts the current home value. Uses county, state and national trends in home sale prices and assessed home values to determine property appreciation rates and current home values. Data was examined at county level and the model inputs, such as sale price, sale year or assessed price of the property that were acquired from realty deed records and county tax assessor records.",Estimated Current Home Value,$
"Address Quality Indicators provide a measure of address deliverability according to the USPS Delivery Sequence File (DSF). Using outcomes of DSF footnotes and other Experian proprietary logic, we assign an Address Quality Index (AQI) to communicate the qu",Address Quality Indicator,"E=Excellent,G=Good,M=Marginal,N=Phone only,S=Satisfactory"
Home property indicator indicates the type of property determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located.,Property Type,"0=Unknown,1=Residential,2=Condominium,3=Duplex,4=Apartment,5=Commercial Condo,6=Agricultural,7=Mobile Home"
"The assessed value of the property determined from information recorded at the county recorder's office in the county where the property is located. Value in thousands. Valid Values: 0001-9999, 0000=Unknown.",Home Total Value,$
The square footage of any buildings associated with the home determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Values in hundreds.,Home Square Footage,000=Unknown; whole number value of sq footage
"Tax Value of Property. The total taxes for the property determined from information recorded at the county recorder's office in the county where the property is located. 0001-9999, 0000=Unknown",Real Estate Tax,$
"Home land value of property in thousands. The assessed value of the land determined from information recorded at the county recorder's office in the county where the property is located. Valid Values: 0001-9999, 0000=Unknown",Home Land Value,$
Home bedrooms is determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located.,Home: Number of Bedrooms,"00=0 bedrooms,01=1 bedroom,02=2 bedrooms,03=3 bedrooms,04=4 bedrooms,05=5 bedrooms,06=6 bedrooms,07=7 bedrooms,08=8 bedrooms,09=9 bedrooms,10=10 bedrooms,11=11 bedrooms,12=12 bedrooms,13=13 bedrooms,14=14 bedrooms,15=15 bedrooms,16=16 bedrooms"
Indicates if a swimming pool is on the property determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located.,Home: Swimming Pool,"U=unknown,Y=yes"
The home total rooms is determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Valid Values: 00-41 41= 41+.,Home: Total Rooms,whole number
The base square footage of the home determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Values in hundreds.,Home: Base Square Footage,000=Unknown; whole number value of sq footage
The name of the original mortgage lender or individual. Mortgage lender name is determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Values: Forty bytes Mortgage Lender Name.,Home: Mortgage Lender,Text
"The mortgage term in months is determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Valid Values: 000-999, 000=Unknown.",Home: Mortgage Term,In Months
Warranty deed date is the date the real estate transaction was recorded in the county. Values: CCYYMMDD,Home: Purchase Date,Date
"Purchase amount is determined from taxes paid when the grant/warranty deed is recorded in the county where the property is located, or it is estimated from the loan amount or legal documents filed at the county recorder's office. Value in thousands. 0001-9999, 0000 =Unknown",Home: Home Purchase Price,$
Score combines known children's ages and when not available an Experian model predicting the likelihood a child within the age group is present in the living unit. Score=000-101; where 101 is known and lower scores indicate less likelihood of a child in the LU for this age range. 000-not coded.,Child Age 0-3 Present,Number where higher value indicates higher likelihood of child present for age range.
Score combines known children's ages and when not available an Experian model predicting the likelihood a child within the age group is present in the living unit. Score=000-101; where 101 is known and lower scores indicate less likelihood of a child in the LU for this age range. 000-not coded.,Child Age 4-6 Present,Number where higher value indicates higher likelihood of child present for age range.
